gisaid_collect_weekstartdate,gisaid_collect_yearweek,gisaid_country,All lineages,B.1.1.7,B.1.351,B.1.427,B.1.429,B.1.525,B.1.526,B.1.526.1,B.1.526.2,B.1.617,B.1.617.1,B.1.617.2,B.1.617.3,Other,P.1,P.2,owid_new_cases,owid_location,owid_population,who_region,owid_continent,sequences_over_new_cases,new_cases_per_mil,gisaid_lagdays_min,gisaid_lagdays_q1,gisaid_lagdays_median,gisaid_lagdays_q3,gisaid_lagdays_max
2019-12-23,2019-W52,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,38928341.0,Eastern Mediterranean,Asia,,0.0,,,,,
2019-12-23,2019-W52,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Albania,2877800.0,Europe,Europe,,0.0,,,,,
2019-12-23,2019-W52,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Algeria,43851043.0,Africa,Africa,,0.0,,,,,
2019-12-23,2019-W52,Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andorra,77265.0,Europe,Europe,,0.0,,,,,
2019-12-23,2019-W52,Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Angola,32866268.0,Africa,Africa,,0.0,,,,,
2019-12-23,2019-W52,Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anguilla,15002.0,,North America,,0.0,,,,,
2019-12-23,2019-W52,Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Antigua and Barbuda,97928.0,Americas,North America,,0.0,,,,,
2019-12-23,2019-W52,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina,45195777.0,Americas,South America,,0.0,,,,,
2019-12-23,2019-W52,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armenia,2963234.0,Europe,Asia,,0.0,,,,,
2019-12-23,2019-W52,Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aruba,106766.0,,North America,,0.0,,,,,
2019-12-23,2019-W52,Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia,25499881.0,Western Pacific,Oceania,,0.0,,,,,
2019-12-23,2019-W52,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Austria,9006400.0,Europe,Europe,,0.0,,,,,
2019-12-23,2019-W52,Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Azerbaijan,10139175.0,Europe,Asia,,0.0,,,,,
2019-12-23,2019-W52,Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bahamas,393248.0,Americas,North America,,0.0,,,,,
2019-12-23,2019-W52,Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bahrain,1701583.0,Eastern Mediterranean,Asia,,0.0,,,,,
2019-12-23,2019-W52,Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bangladesh,164689383.0,South-East Asia,Asia,,0.0,,,,,
2019-12-23,2019-W52,Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barbados,287371.0,Americas,North America,,0.0,,,,,
2019-12-23,2019-W52,Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Belarus,9449321.0,Europe,Europe,,0.0,,,,,
2019-12-23,2019-W52,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Belgium,11589616.0,Europe,Europe,,0.0,,,,,
2019-12-23,2019-W52,Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Belize,397621.0,Americas,North America,,0.0,,,,,
2019-12-23,2019-W52,Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benin,12123198.0,Africa,Africa,,0.0,,,,,
2019-12-23,2019-W52,Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bermuda,62273.0,,North America,,0.0,,,,,
2019-12-23,2019-W52,Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bhutan,771612.0,South-East Asia,Asia,,0.0,,,,,
2019-12-23,2019-W52,Bolivia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bolivia,11673029.0,Americas,South America,,0.0,,,,,
2019-12-23,2019-W52,Bonaire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
2019-12-23,2019-W52,Bonaire Sint Eustatius and Saba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bonaire Sint Eustatius and Saba,26221.0,,North America,,0.0,,,,,
2019-12-23,2019-W52,Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bosnia and Herzegovina,3280815.0,Europe,Europe,,0.0,,,,,
2019-12-23,2019-W52,Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Botswana,2351625.0,Africa,Africa,,0.0,,,,,
2019-12-23,2019-W52,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil,212559409.0,Americas,South America,,0.0,,,,,
2019-12-23,2019-W52,British Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
2019-12-23,2019-W52,Brunei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brunei,437483.0,Western Pacific,Asia,,0.0,,,,,
2019-12-23,2019-W52,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bulgaria,6948445.0,Europe,Europe,,0.0,,,,,
2019-12-23,2019-W52,Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burkina Faso,20903278.0,Africa,Africa,,0.0,,,,,
2019-12-23,2019-W52,BurkinaFaso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
2019-12-23,2019-W52,Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burundi,11890781.0,Africa,Africa,,0.0,,,,,
2019-12-23,2019-W52,Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cambodia,16718971.0,Western Pacific,Asia,,0.0,,,,,
2019-12-23,2019-W52,Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cameroon,26545864.0,Africa,Africa,,0.0,,,,,
2019-12-23,2019-W52,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Canada,37742157.0,Americas,North America,,0.0,,,,,
2019-12-23,2019-W52,Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cape Verde,555988.0,Africa,Africa,,0.0,,,,,
2019-12-23,2019-W52,Cayman Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cayman Islands,65720.0,,North America,,0.0,,,,,
2019-12-23,2019-W52,Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central African Republic,4829764.0,Africa,Africa,,0.0,,,,,
2019-12-23,2019-W52,Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chad,16425859.0,Africa,Africa,,0.0,,,,,
2019-12-23,2019-W52,Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chile,19116209.0,Americas,South America,,0.0,,,,,
2019-12-23,2019-W52,China,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,China,1439323774.0,Western Pacific,Asia,,0.0,18.0,22.25,26.5,30.75,35.0
2019-12-23,2019-W52,Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colombia,50882884.0,Americas,South America,,0.0,,,,,
2019-12-23,2019-W52,Comoros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Comoros,869595.0,Africa,Africa,,0.0,,,,,
2019-12-23,2019-W52,Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Congo,5518092.0,Africa,Africa,,0.0,,,,,
2019-12-23,2019-W52,Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Costa Rica,5094114.0,Americas,North America,,0.0,,,,,
2019-12-23,2019-W52,Cote d'Ivoire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cote d'Ivoire,26378275.0,Africa,Africa,,0.0,,,,,
2019-12-23,2019-W52,Crimea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
2019-12-23,2019-W52,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Croatia,4105268.0,Europe,Europe,,0.0,,,,,
2019-12-23,2019-W52,Cuba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cuba,11326616.0,Americas,North America,,0.0,,,,,
2019-12-23,2019-W52,Curacao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Curacao,164100.0,,North America,,0.0,,,,,
2019-12-23,2019-W52,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cyprus,875899.0,Europe,Europe,,0.0,,,,,
